String,Class
group of boats floating on top of a lake .,0
group of boats floating on top of a river .,0
glass vase with some flowers in it,0
desktop computer sitting on top of a desk .,0
computer monitor sitting on top of a wooden desk .,0
desktop computer monitor sitting on top of a desk .,0
computer monitor sitting on top of a desk .,0
bunch of vegetables that are on a table .,0
bunch of vegetables that are sitting on a table .,0
male tennis player in action on the court .,0
plate of food and a cup of coffee .,0
plate of food and a cup of coffee,0
plate of food and a glass of wine,0
plate of food on a table with a drink,0
giraffe standing on top of a grass covered field .,0
close up of a bowl of fruit,0
close up of a bowl of fruit on a table,0
close up of a bowl of oranges,0
traffic light sitting on the side of a road .,0
traffic light sitting on the side of a street .,0
traffic light sitting on the side of a city street .,0
city street at night with a street light,0
vase filled with lots of different colored flowers .,0
large body of water with a bridge in the background .,0
large body of water with a bridge in the background,0
large building with a clock on the top .,0
large building with a clock on top of it .,0
plate of fruit and a cup of coffee .,0
plate of food with a glass of orange juice .,0
plate of fruit and a cup of coffee,0
plate of food with a glass of orange juice,0
glass vase with some flowers in it,0
row of urinals mounted to a wall .,0
row of urinals mounted to the side of a wall .,0
couple of toilets that are in a room .,0
group of kites flying in the sky .,0
group of people flying kites in a field .,0
group of kites flying in the air .,0
group of kites flying in the sky,0
building with a clock on the side of it,0
bouquet of flowers in a glass vase .,0
vase filled with lots of different colored flowers .,0
glass vase with some flowers in it,0
glass vase filled with yellow flowers on top of a table .,0
table topped with lots of different cakes .,0
table topped with plates and bowls of food .,0
table topped with plates and bowls filled with food .,0
table topped with plates of food and cups of coffee .,0
table topped with plates of food and cups .,0
little girl holding a toothbrush in her hands .,0
little girl that is holding a toothbrush .,0
little girl holding a toothbrush in her mouth .,0
red and white bus parked in a parking lot .,0
vase filled with pink flowers on top of a table .,0
vase filled with lots of different colored flowers .,0
glass vase filled with yellow flowers on a table .,0
glass vase filled with yellow flowers on top of a table .,0
white plate topped with a piece of food .,0
herd of cattle standing on top of a grass covered field .,0
couple of cows standing in a field .,0
herd of cattle standing on top of a dry grass field .,0
living room with a couch and a table,0
bedroom with a bed and a large window .,0
bedroom with a bed and a window,0
living room with a couch and a chair,0
red fire hydrant sitting in the middle of a sidewalk .,0
boat that is sitting in the water .,0
couple of boats floating on top of a river .,0
couple of boats floating on top of a body of water .,0
couple of giraffe standing next to a wooden fence .,0
couple of giraffe standing next to a fence .,0
brown teddy bear sitting in a tree .,0
man jumping up to catch a frisbee,0
man in white shirt and black shorts playing a game of tennis .,0
man jumping up to catch a frisbee .,0
bowl of broccoli and cauliflower with a spoon .,0
bowl of broccoli and cauliflower with a spoon,0
bunch of green bananas hanging from a banana tree .,0
teddy bear is laying on a bed .,0
stuffed teddy bear sitting on a bed .,0
teddy bear is laying on a bed,0
stuffed teddy bear sitting on a bed,0
wooden table topped with a vase filled with flowers .,0
table with a vase of flowers on it,0
rear view mirror showing a reflection of a school bus .,0
rear view mirror showing a reflection of a dog .,0
rear view mirror showing a reflection of a dog,0
rear view mirror showing a reflection of a school bus,0
close up of a knife on a cutting board,0
close up of a knife on a table,0
black and white cat laying on top of a desk .,0
black and white cat laying on top of a computer keyboard .,0
black and white cat sitting on top of a desk .,0
black and white cat sitting on top of a computer keyboard .,0
man riding a skateboard down the side of a ramp .,0
man riding a skateboard up the side of a ramp .,0
man riding a skateboard down the side of a rail .,0
man riding a skateboard down a rail .,0
vase filled with flowers on top of a table .,1
vase of flowers sitting on a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
couple of boats that are sitting in the water .,1
couple of boats that are in the water .,1
woman holding a tennis racquet on a tennis court .,1
woman holding a tennis racquet on top of a tennis court .,1
woman holding a tennis racket on a tennis court .,1
woman is swinging a tennis racket at a ball,1
vase filled with flowers on top of a table .,1
vase filled with yellow flowers on top of a table .,1
vase filled with flowers sitting on a table .,1
vase filled with flowers sitting on top of a table .,1
couple of giraffe standing next to each other .,1
couple of giraffes are standing in a field,1
couple of giraffe standing next to a tree .,1
group of giraffe standing next to each other .,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
bouquet of flowers in a vase on a table .,1
vase filled with flowers on top of a table .,1
vase filled with lots of purple flowers .,1
vase filled with yellow flowers on top of a table .,1
bouquet of flowers in a vase on a table .,1
vase with a flower inside of it .,1
vase with a flower inside of it,1
vase with a flower in it on a table,1
vase filled with flowers on top of a table .,1
bouquet of flowers in a vase on a table .,1
white vase filled with purple flowers on a table .,1
white vase filled with purple flowers on top of a table .,1
couple of giraffe standing next to each other .,1
couple of giraffe standing next to a tree .,1
couple of giraffes are standing in a pin,1
couple of giraffe standing next to each other on a field .,1
small bird perched on top of a tree branch .,1
small bird perched on a tree branch .,1
small bird perched on a tree branch,1
small bird sitting on a branch of a tree .,1
vase filled with lots of purple flowers .,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
bunch of carrots sitting on top of a wooden table .,1
bunch of carrots sitting on top of a table .,1
herd of sheep grazing on a lush green field .,1
herd of sheep grazing on a lush green hillside .,1
herd of sheep standing on top of a lush green field .,1
herd of sheep grazing in a field .,1
birds perched on top of a tree branch .,1
flock of birds sitting on top of a tree .,1
flock of birds sitting on top of a tree branch .,1
birds perched on top of a tree .,1
bowl of soup with a spoon in it .,1
bowl of soup with a spoon in it,1
bowl of soup and a bowl of soup .,1
bowl of soup with a spoon on a table .,1
vase filled with flowers sitting on top of a table .,1
vase of flowers sitting on a table .,1
vase filled with flowers sitting on a table .,1
