child in a pink dress is climbing up a set of stairs in an entry way .,8
girl going into a wooden building .,2
little girl climbing into a wooden playhouse .,2
little girl climbing the stairs to her playhouse .,2
little girl in a pink dress going into a wooden cabin .,2
black dog and a spotted dog are fighting,9
black dog and a tri-colored dog playing with each other on the road .,7
black dog and a white dog with brown spots are staring at each other in the street .,7
dogs of different breeds looking at each other on the road .,7
dogs on pavement moving toward each other .,7
little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,0
little girl is sitting in front of a large painted rainbow .,2
small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,0
is a girl with pigtails sitting in front of a rainbow painting .,2
girl with pigtails painting outside in the grass .,2
man lays on a bench while his dog sits by him .,9
man lays on the bench to which a white dog is also tied .,9
man sleeping on a bench outside with a white and black dog sitting next to him .,8
shirtless man lies on a park bench with his dog .,9
laying on bench holding leash of dog sitting on ground,8
man in an orange hat starring at something .,0
man wears an orange hat and glasses .,2
man with gauges and glasses is wearing a Blitz hat .,2
man with glasses is wearing a beer can crocheted hat .,7
man with pierced ears is wearing glasses and an orange hat .,2
child playing on a rope net .,8
little girl climbing on red roping .,2
little girl in pink climbs a rope bridge at the park .,0
small child grips onto the red ropes at the playground .,7
small child climbs on a red ropes on a playground .,7
black and white dog is running in a grassy garden surrounded by a white fence .,8
black and white dog is running through the grass .,2
Boston terrier is running in the grass .,2
Boston Terrier is running on lush green grass in front of a white fence .,2
dog runs on the green grass near a wooden fence .,2
dog shakes its head near the shore , a red ball next to it .,8
white dog shakes on the edge of a beach with an orange ball .,2
with orange ball at feet , stands on shore shaking off water,0
dog playing with a red ball on the shore near the water .,2
dog with brown ears standing near water with head turned to one side .,8
boy smiles in front of a stony wall in a city .,2
little boy is standing on the street while a man in overalls is working on a stone wall .,8
young boy runs aross the street .,2
young child is walking on a stone paved street with a metal pole and a man behind him .,0
boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,2
black dog leaps over a log .,0
grey dog is leaping over a fallen tree .,0
large black dog leaps a fallen log .,0
mottled black and grey dog in a blue collar jumping over a fallen tree .,0
black dog jumped the tree stump .,9
brown and white dog is running through the snow .,2
dog is running in the snow,2
dog running through snow .,2
white and brown dog is running through a snow covered field .,8
white and brown dog is running over the surface of the snow .,2
man in a hat is displaying pictures next to a skier in a blue hat .,0
man skis past another man displaying paintings in the snow .,0
person wearing skis looking at framed pictures set up in the snow .,7
skier looks at framed pictures in the snow next to trees .,8
on skis looking at artwork for sale in the snow,2
collage of one person climbing a cliff .,9
group of people are rock climbing on a rock climbing wall .,7
group of people climbing a rock while one man belays,2
climbers are ascending a rock face whilst another man stands holding the rope .,0
climbers in a row are climbing the rock while the man in red watches and holds the line .,9
brown dog chases the water from a sprinkler on a lawn .,0
brown dog plays with the hose .,2
brown dog running on a lawn near a garden hose,0
dog is playing with a hose .,2
brown dog running away from the sprinkler in the grass .,8
dog prepares to catch a thrown object in a field with nearby cars .,2
white dog is about to catch a yellow ball in its mouth .,2
white dog is about to catch a yellow dog toy .,2
white dog is ready to catch a yellow ball flying through the air .,2
white dog running after a yellow ball,2
black and white dog jumping in the air to get a toy .,9
black and white dog jumps up towards a yellow toy .,0
dog leaps to catch a ball in a field .,7
white dog is trying to catch a ball in midair over a grassy field .,2
white dog is playing in a green field with a yellow toy .,2
child and a woman are at waters edge in a big city .,8
large lake with a lone duck swimming in it with several people around the edge of it .,0
little boy at a lake watching a duck .,2
young boy waves his hand at the duck in the water surrounded by a green park .,9
people are at the edge of a lake , facing the water and the city skyline .,0
